"","Task","Billable","Start.date","Start.time","End.date","End.time","Duration","Tags","Amount...","Start.datetime","End.datetime","tags"
"140",NA,"Yes","2023-02-13","09:00:00","2023-02-13","09:30:00",30,"Business Strategy",NA,2023-02-13 09:00:00,2023-02-13 09:30:00,"Prod Manage"
"141",NA,"Yes","2023-02-13","11:45:00","2023-02-13","13:00:00",75,"Reading",NA,2023-02-13 11:45:00,2023-02-13 13:00:00,"Sci Writing"
"142",NA,"Yes","2023-02-13","13:00:00","2023-02-13","13:30:00",30,"Supervision",NA,2023-02-13 13:00:00,2023-02-13 13:30:00,"Sci Writing"
"143",NA,"Yes","2023-02-13","13:30:00","2023-02-13","14:15:00",45,"Meetings,Project Management",NA,2023-02-13 13:30:00,2023-02-13 14:15:00,"Prod Manage"
"144",NA,"Yes","2023-02-13","13:30:00","2023-02-13","14:15:00",45,"Meetings,Project Management",NA,2023-02-13 13:30:00,2023-02-13 14:15:00,"Proj Manage"
"145",NA,"Yes","2023-02-14","07:15:00","2023-02-14","10:00:00",165,"Documentation",NA,2023-02-14 07:15:00,2023-02-14 10:00:00,"Comms/Report and BI"
"146",NA,"Yes","2023-02-14","11:00:00","2023-02-14","12:00:00",60,"Code,R Studio",NA,2023-02-14 11:00:00,2023-02-14 12:00:00,"AI / Deep Learning"
"147",NA,"Yes","2023-02-14","11:00:00","2023-02-14","12:00:00",60,"Code,R Studio",NA,2023-02-14 11:00:00,2023-02-14 12:00:00,"Data Explore/Visualisation"
"148",NA,"Yes","2023-02-14","13:30:00","2023-02-14","14:45:00",75,"Code,R Studio",NA,2023-02-14 13:30:00,2023-02-14 14:45:00,"AI / Deep Learning"
"149",NA,"Yes","2023-02-14","13:30:00","2023-02-14","14:45:00",75,"Code,R Studio",NA,2023-02-14 13:30:00,2023-02-14 14:45:00,"Data Explore/Visualisation"
"150",NA,"Yes","2023-02-16","07:00:00","2023-02-16","10:00:00",180,"Documentation,Project Management",NA,2023-02-16 07:00:00,2023-02-16 10:00:00,"Comms/Report and BI"
"151",NA,"Yes","2023-02-16","07:00:00","2023-02-16","10:00:00",180,"Documentation,Project Management",NA,2023-02-16 07:00:00,2023-02-16 10:00:00,"Proj Manage"
"152",NA,"Yes","2023-02-16","09:57:11","2023-02-16","10:15:00",17.8166666666667,"Project Management",NA,2023-02-16 09:57:11,2023-02-16 10:15:00,"Proj Manage"
"153",NA,"Yes","2023-02-16","12:45:00","2023-02-16","14:00:00",75,"Documentation,Project Management",NA,2023-02-16 12:45:00,2023-02-16 14:00:00,"Comms/Report and BI"
"154",NA,"Yes","2023-02-16","12:45:00","2023-02-16","14:00:00",75,"Documentation,Project Management",NA,2023-02-16 12:45:00,2023-02-16 14:00:00,"Proj Manage"
